City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1508,Atitalaquia,MX,70.65,broken clouds,20.0667,-99.2167,Hotel San Javier
1509,Mizan Teferi,ET,71.26,overcast clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
1514,Puerto Ayacucho,VE,83.64,light rain,5.6639,-67.6236,Posada Turistica Manapiare
1515,Kampot,KH,78.85,clear sky,10.6167,104.1833,Two Moons Hotel
1521,Bay Saint Louis,US,78.87,clear sky,30.3088,-89.33,The Abode Guest House
1522,Samarai,PG,81.64,overcast clouds,-10.6167,150.6667,Nuli Sapi
1526,Kinkala,CG,76.24,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
1528,Villarrica,PY,76.51,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
1533,Sao Felix Do Xingu,BR,88.03,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
1534,Conakry,GN,84.27,haze,9.538,-13.6773,Riviera Royal Hotel
1538,Gold Coast,AU,70.25,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
1544,Salta,AR,75.79,few clouds,-24.7859,-65.4117,Hotel Alejandro I
1545,Quang Ngai,VN,74.86,clear sky,15.1167,108.8,Central Hotel
1548,Caucaia,BR,80.55,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
1549,Kisangani,CD,78.76,broken clouds,0.5167,25.2,Grand Ramela Hotel
1554,Maturin,VE,88.84,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
1558,Aden,YE,79.12,clear sky,12.7794,45.0367,Sama Emirate Hotel
1560,Barabai,ID,74.34,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
1561,Yola,NG,89.33,clear sky,9.2,12.4833,Muna Hotel
1564,Inongo,CD,77.74,overcast clouds,-1.95,18.2667,Hotel Du Lac
1565,Puerto Suarez,BO,75.76,broken clouds,-18.95,-57.8,Hotel casa real
1570,Gladstone,AU,71.53,overcast clouds,-23.85,151.25,Highpoint International Hotel
1573,Weligama,LK,76.86,clear sky,5.9667,80.4167,Weligama Bay Resort
1574,Igatpuri,IN,76.23,clear sky,19.7,73.55,Mystic Valley Spa Resort
1579,Mariakani,KE,82.49,broken clouds,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
1582,Vieques,PR,85.89,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
1583,Cocorit,MX,82.74,overcast clouds,27.5833,-109.9667,Kaba Motel
1590,Kaabong,UG,70.99,light rain,3.4836,34.1492,Rock Motel Ltd
1595,Ocos,GT,89.78,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
1597,Dakar,SN,81.48,clear sky,14.6937,-17.4441,Novotel Dakar
1598,Pirenopolis,BR,88.29,broken clouds,-15.8525,-48.9592,Hotel Pousada Mandala
1599,Formosa Do Rio Preto,BR,85.64,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
1600,Los Cedrales,PY,80.89,clear sky,-25.65,-54.7,Piro'y Eco Turismo
1603,Mazinde,TZ,76.14,overcast clouds,-4.8,38.2167,Irente View Cliff Lodge And Campsite
1605,Anuppur,IN,73.81,clear sky,23.1,81.6833,PWD vishramgruh GUEST HOUSE
1609,Phangnga,TH,78.84,clear sky,8.4509,98.5298,Sunimit Mansion
1616,Bontang,ID,77.79,few clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
1618,Wanning,CN,77.22,broken clouds,18.8003,110.3967,Paradise Hotel
1622,Takoradi,GH,82.31,overcast clouds,4.8845,-1.7554,Raybow International Hotel
